ID	CANONICAL_SMILES	Ki_nM
215	CC1=CC=C(NS(=O)(=O)Cc2ccccc2)C(=O)N1CC(=O)NC3CCc4nc(N)sc4C3	120
1813	NC(=N)NCCC[C@H](NC(=O)[C@@H]1CC[C@H]2CN(CC(=O)N12)C(=O)CCc3ccccc3)C(=O)c4nccs4	0.6
1411	CN(CC(=O)NCc1ccc(CN)cc1)C(=O)OCc2ccc(COC(=O)N(C)CC(=O)NCc3ccc(CN)cc3)cc2	1000000
2543	NC(=N)c1ccc2c(ccn2CC(=O)N3CCC(Cc4ccccc4)CC3)c1	18
3309	NC(=N)c1ccc(CNC(=O)[C@@H]2Cc3ccc(OCCCCOc4ccc(C[C@@H](NS(=O)(=O)Cc5ccccc5)C(=O)N2)cc4)cc3)cc1	510
3861	NC(=N)c1ccc(O)c(\C=C\CNC(=O)c2ccc(cc2)c3ccc(cc3)S(=O)(=O)N)c1	4000
3397	CC(=N)N1CCC(CC1)Oc2ccc3ncn(Cc4ccc5ccc(cc5c4)C(=N)N)c3c2	810
3761	CC(C)(C)OC(=O)N[C@H](Cc1ccccc1)C(=O)N2CCC[C@H]2C(=O)NCc3ccc(N)cc3	3700
1073	NC(=N)c1cccc(c1)N2CC(CN(CC3CCN(Cc4ccccc4)CC3)C2=O)NC(=O)Cc5ccccc5	42300
1634	CN[C@H](Cc1ccccc1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCN=C(N)N)C(=O)c3nc4ccccc4s3	0.19
234	Cl.N[C@H](C1CCCCC1)C(=O)N2CCC[C@H]2C(=O)NCc3cccc(Cl)c3	150
3036	NC(=N)NOCCNC(=O)Cc1c(Cl)ccc(NCC(F)(F)c2cnc3ccccc3c2)c1F	169
4597	CC[C@@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CC(=O)O)NC(=O)C)C(=O)N3CCC[C@H]3C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC4CCCCC4)C(=O)N[C@H](CCC(=O)O)C(=O)O	135
2440	CN(C1CCCC1)C(=O)[C@H](Cc2ccc(CN)cc2)NS(=O)(=O)c3ccc4CCCCc4c3	10.1
338	CCOC(=O)C(=O)N(Cc1ccc(F)cc1)c2ccc3OC(C)(COc4ccc(cc4)C(=N)N)CN(C)c3c2	330
3537	NC(=N)c1ccc2[nH]cc(CC(=O)Nc3ccc(cc3)c4ccccc4S(=O)(=O)N)c2c1	1600
1619	CCC(C)(C)C(NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)OCc4ccccc4)B5O[C@@H]6CC7CC(C7(C)C)[C@]6(C)O5	0.14
2870	Cl.CN(C)c1cccc2c(cccc12)S(=O)(=O)NC(CCCN=C(N)N)C(=O)N3CCCCC3	83
2993	NC(=N)c1ccc2c(cnn2CC(=O)N3CCC(Cc4ccccc4)CC3)c1	140
1274	Cl.COc1cccc(CNS(=O)(=O)c2ccc(cc2)C(=N)N)c1	223000
3637	CCOc1cc(ccc1OC(C)C)C(Nc2ccc3c(N)nccc3c2)C(=O)NCc4ccccc4S(=O)(=O)C5CC5	2400
1559	ClC1=CN=C2N[C@@H](Cc3ccccc3)CNC(=O)OC\C=C/COc4ccc(Cl)cc4CNC(=O)CN1C2=O	0.06
